RowNumber,InputTextID,PerturbationID,OriginalLabel,PerturbedLabel,IsEquivalent
619,fsa30,Identifying Individual,negative,neutral,False
620,fsa30,Identifying Individual,negative,neutral,False
621,fsa30,Identifying Individual,negative,positive,False
622,fsa30,Identifying Individual,negative,neutral,False
623,fsa30,Identifying Individual,negative,neutral,False
624,fsa30,Identifying Individual,negative,neutral,False
625,fsa30,Identifying Individual,negative,positive,False
627,fsa30,Identifying Individual,negative,positive,False
629,fsa30,Identifying Individual,negative,neutral,False
630,fsa30,Identifying Individual,negative,neutral,False
631,fsa31,Identifying Individual,positive,neutral,False
633,fsa31,Identifying Individual,positive,negative,False
634,fsa31,Identifying Individual,positive,negative,False
635,fsa31,Identifying Individual,positive,neutral,False
636,fsa31,Identifying Individual,positive,negative,False
637,fsa31,Identifying Individual,positive,negative,False
638,fsa31,Identifying Individual,positive,negative,False
639,fsa31,Identifying Individual,positive,negative,False
640,fsa31,Identifying Individual,positive,neutral,False
641,fsa31,Identifying Individual,positive,neutral,False
642,fsa31,Identifying Individual,positive,negative,False
643,fsa31,Identifying Individual,positive,negative,False
644,fsa31,Identifying Individual,positive,neutral,False
645,fsa31,Identifying Individual,positive,neutral,False
646,fsa31,Identifying Individual,positive,neutral,False
647,fsa31,Identifying Individual,positive,neutral,False
648,fsa31,Identifying Individual,positive,neutral,False
649,fsa31,Identifying Individual,positive,neutral,False
650,fsa31,Identifying Individual,positive,neutral,False
653,fsa32,Identifying Individual,positive,negative,False
654,fsa32,Identifying Individual,positive,negative,False
655,fsa32,Identifying Individual,positive,negative,False
656,fsa32,Identifying Individual,positive,negative,False
657,fsa32,Identifying Individual,positive,negative,False
665,fsa32,Identifying Individual,positive,negative,False
674,fsa33,Identifying Individual,positive,negative,False
676,fsa33,Identifying Individual,positive,negative,False
694,fsa34,Identifying Individual,neutral,negative,False
695,fsa34,Identifying Individual,neutral,negative,False
696,fsa34,Identifying Individual,neutral,positive,False
697,fsa34,Identifying Individual,neutral,positive,False
698,fsa34,Identifying Individual,neutral,positive,False
699,fsa34,Identifying Individual,neutral,positive,False
700,fsa34,Identifying Individual,neutral,negative,False
702,fsa34,Identifying Individual,neutral,positive,False
704,fsa34,Identifying Individual,neutral,positive,False
705,fsa34,Identifying Individual,neutral,negative,False
706,fsa34,Identifying Individual,neutral,positive,False
707,fsa34,Identifying Individual,neutral,positive,False
708,fsa34,Identifying Individual,neutral,positive,False
709,fsa34,Identifying Individual,neutral,negative,False
710,fsa34,Identifying Individual,neutral,positive,False
711,fsa34,Identifying Individual,neutral,positive,False
712,fsa34,Identifying Individual,neutral,positive,False
713,fsa34,Identifying Individual,neutral,positive,False
714,fsa34,Identifying Individual,neutral,positive,False
716,fsa35,Identifying Individual,positive,negative,False
718,fsa35,Identifying Individual,positive,negative,False
719,fsa35,Identifying Individual,positive,negative,False
720,fsa35,Identifying Individual,positive,negative,False
724,fsa35,Identifying Individual,positive,negative,False
738,fsa36,Identifying Individual,positive,negative,False
752,fsa36,Identifying Individual,positive,negative,False
757,fsa37,Identifying Individual,negative,positive,False
759,fsa37,Identifying Individual,negative,positive,False
761,fsa37,Identifying Individual,negative,positive,False
762,fsa37,Identifying Individual,negative,positive,False
763,fsa37,Identifying Individual,negative,positive,False
764,fsa37,Identifying Individual,negative,positive,False
765,fsa37,Identifying Individual,negative,positive,False
766,fsa37,Identifying Individual,negative,positive,False
768,fsa37,Identifying Individual,negative,positive,False
769,fsa37,Identifying Individual,negative,positive,False
770,fsa37,Identifying Individual,negative,positive,False
775,fsa37,Identifying Individual,negative,positive,False
777,fsa37,Identifying Individual,negative,positive,False
781,fsa38,Identifying Individual,positive,negative,False
783,fsa38,Identifying Individual,positive,negative,False
788,fsa38,Identifying Individual,positive,negative,False
799,fsa39,Identifying Individual,negative,positive,False
801,fsa39,Identifying Individual,negative,positive,False
803,fsa39,Identifying Individual,negative,positive,False
804,fsa39,Identifying Individual,negative,positive,False
805,fsa39,Identifying Individual,negative,positive,False
806,fsa39,Identifying Individual,negative,positive,False
807,fsa39,Identifying Individual,negative,positive,False
808,fsa39,Identifying Individual,negative,positive,False
809,fsa39,Identifying Individual,negative,positive,False
811,fsa39,Identifying Individual,negative,positive,False
812,fsa39,Identifying Individual,negative,positive,False
813,fsa39,Identifying Individual,negative,positive,False
814,fsa39,Identifying Individual,negative,positive,False
815,fsa39,Identifying Individual,negative,positive,False
816,fsa39,Identifying Individual,negative,positive,False
817,fsa39,Identifying Individual,negative,positive,False
818,fsa39,Identifying Individual,negative,positive,False
819,fsa39,Identifying Individual,negative,positive,False
824,fsa40,Identifying Individual,positive,neutral,False
831,fsa40,Identifying Individual,positive,negative,False
832,fsa40,Identifying Individual,positive,negative,False
843,fsa41,Identifying Individual,negative,positive,False
847,fsa41,Identifying Individual,negative,positive,False
852,fsa41,Identifying Individual,negative,positive,False
863,fsa42,Identifying Individual,negative,positive,False
868,fsa42,Identifying Individual,negative,positive,False
873,fsa42,Identifying Individual,negative,positive,False
891,fsa43,Identifying Individual,negative,positive,False
894,fsa43,Identifying Individual,negative,positive,False
905,fsa44,Identifying Individual,negative,positive,False
914,fsa44,Identifying Individual,negative,positive,False
915,fsa44,Identifying Individual,negative,positive,False
916,fsa44,Identifying Individual,negative,positive,False
925,fsa45,Identifying Individual,negative,positive,False
930,fsa45,Identifying Individual,negative,positive,False
931,fsa45,Identifying Individual,negative,positive,False
932,fsa45,Identifying Individual,negative,positive,False
934,fsa45,Identifying Individual,negative,positive,False
935,fsa45,Identifying Individual,negative,positive,False
936,fsa45,Identifying Individual,negative,positive,False
937,fsa45,Identifying Individual,negative,positive,False
941,fsa45,Identifying Individual,negative,positive,False
943,fsa45,Identifying Individual,negative,positive,False
944,fsa45,Identifying Individual,negative,positive,False
945,fsa45,Identifying Individual,negative,positive,False
967,fsa47,Identifying Individual,negative,positive,False
968,fsa47,Identifying Individual,negative,positive,False
971,fsa47,Identifying Individual,negative,positive,False
972,fsa47,Identifying Individual,negative,positive,False
973,fsa47,Identifying Individual,negative,positive,False
974,fsa47,Identifying Individual,negative,positive,False
975,fsa47,Identifying Individual,negative,positive,False
976,fsa47,Identifying Individual,negative,positive,False
977,fsa47,Identifying Individual,negative,positive,False
978,fsa47,Identifying Individual,negative,positive,False
979,fsa47,Identifying Individual,negative,positive,False
980,fsa47,Identifying Individual,negative,positive,False
981,fsa47,Identifying Individual,negative,positive,False
982,fsa47,Identifying Individual,negative,positive,False
983,fsa47,Identifying Individual,negative,positive,False
984,fsa47,Identifying Individual,negative,positive,False
985,fsa47,Identifying Individual,negative,positive,False
986,fsa47,Identifying Individual,negative,positive,False
989,fsa48,Identifying Individual,negative,positive,False
990,fsa48,Identifying Individual,negative,positive,False
993,fsa48,Identifying Individual,negative,neutral,False
994,fsa48,Identifying Individual,negative,positive,False
995,fsa48,Identifying Individual,negative,positive,False
997,fsa48,Identifying Individual,negative,neutral,False
998,fsa48,Identifying Individual,negative,positive,False
999,fsa48,Identifying Individual,negative,positive,False
1000,fsa48,Identifying Individual,negative,positive,False
1004,fsa48,Identifying Individual,negative,neutral,False
1007,fsa48,Identifying Individual,negative,neutral,False
1008,fsa48,Identifying Individual,negative,neutral,False
1009,fsa49,Identifying Individual,positive,negative,False
1010,fsa49,Identifying Individual,positive,negative,False
1011,fsa49,Identifying Individual,positive,negative,False
1012,fsa49,Identifying Individual,positive,negative,False
1014,fsa49,Identifying Individual,positive,negative,False
1015,fsa49,Identifying Individual,positive,negative,False
1016,fsa49,Identifying Individual,positive,negative,False
1017,fsa49,Identifying Individual,positive,negative,False
1018,fsa49,Identifying Individual,positive,negative,False
1019,fsa49,Identifying Individual,positive,negative,False
1021,fsa49,Identifying Individual,positive,negative,False
1022,fsa49,Identifying Individual,positive,negative,False
1023,fsa49,Identifying Individual,positive,negative,False
1024,fsa49,Identifying Individual,positive,negative,False
1025,fsa49,Identifying Individual,positive,negative,False
1026,fsa49,Identifying Individual,positive,negative,False
1027,fsa49,Identifying Individual,positive,negative,False
1028,fsa49,Identifying Individual,positive,negative,False
1029,fsa49,Identifying Individual,positive,negative,False
1031,fsa50,Identifying Individual,neutral,negative,False
1032,fsa50,Identifying Individual,neutral,negative,False
1033,fsa50,Identifying Individual,neutral,negative,False
1034,fsa50,Identifying Individual,neutral,positive,False
1039,fsa50,Identifying Individual,neutral,positive,False
1041,fsa50,Identifying Individual,neutral,negative,False
1042,fsa50,Identifying Individual,neutral,negative,False
1045,fsa50,Identifying Individual,neutral,negative,False
1048,fsa50,Identifying Individual,neutral,negative,False
1049,fsa50,Identifying Individual,neutral,negative,False
1050,fsa50,Identifying Individual,neutral,negative,False
1095,fsa53,Identifying Individual,negative,neutral,False
1102,fsa53,Identifying Individual,negative,positive,False
1107,fsa53,Identifying Individual,negative,positive,False
1110,fsa53,Identifying Individual,negative,positive,False
1113,fsa53,Identifying Individual,negative,positive,False
1135,fsa55,Identifying Individual,positive,negative,False
1137,fsa55,Identifying Individual,positive,negative,False
1138,fsa55,Identifying Individual,positive,negative,False
1139,fsa55,Identifying Individual,positive,negative,False
1140,fsa55,Identifying Individual,positive,negative,False
1141,fsa55,Identifying Individual,positive,negative,False
1142,fsa55,Identifying Individual,positive,negative,False
1143,fsa55,Identifying Individual,positive,negative,False
1144,fsa55,Identifying Individual,positive,negative,False
1145,fsa55,Identifying Individual,positive,negative,False
1146,fsa55,Identifying Individual,positive,negative,False
1147,fsa55,Identifying Individual,positive,negative,False
1148,fsa55,Identifying Individual,positive,negative,False
1149,fsa55,Identifying Individual,positive,negative,False
1150,fsa55,Identifying Individual,positive,negative,False
1151,fsa55,Identifying Individual,positive,negative,False
1152,fsa55,Identifying Individual,positive,negative,False
1153,fsa55,Identifying Individual,positive,negative,False
1155,fsa55,Identifying Individual,positive,negative,False
1156,fsa56,Identifying Individual,negative,positive,False
1160,fsa56,Identifying Individual,negative,positive,False
1163,fsa56,Identifying Individual,negative,positive,False
1178,fsa57,Identifying Individual,positive,neutral,False
1180,fsa57,Identifying Individual,positive,negative,False
1183,fsa57,Identifying Individual,positive,negative,False
1184,fsa57,Identifying Individual,positive,negative,False
1185,fsa57,Identifying Individual,positive,negative,False
1187,fsa57,Identifying Individual,positive,negative,False
1188,fsa57,Identifying Individual,positive,negative,False
1189,fsa57,Identifying Individual,positive,negative,False
1191,fsa57,Identifying Individual,positive,negative,False
1194,fsa57,Identifying Individual,positive,neutral,False
1196,fsa57,Identifying Individual,positive,negative,False
1197,fsa57,Identifying Individual,positive,negative,False
1220,fsa59,Identifying Individual,positive,negative,False
1222,fsa59,Identifying Individual,positive,neutral,False
1241,fsa60,Identifying Individual,neutral,negative,False
1242,fsa60,Identifying Individual,neutral,negative,False
1243,fsa60,Identifying Individual,neutral,negative,False
1252,fsa60,Identifying Individual,neutral,positive,False
1255,fsa60,Identifying Individual,neutral,negative,False
1258,fsa60,Identifying Individual,neutral,negative,False
1259,fsa60,Identifying Individual,neutral,negative,False
1262,fsa61,Identifying Individual,negative,positive,False
1263,fsa61,Identifying Individual,negative,neutral,False
1265,fsa61,Identifying Individual,negative,neutral,False
1267,fsa61,Identifying Individual,negative,neutral,False
1269,fsa61,Identifying Individual,negative,neutral,False
1274,fsa61,Identifying Individual,negative,neutral,False
1275,fsa61,Identifying Individual,negative,positive,False
1277,fsa61,Identifying Individual,negative,neutral,False
1278,fsa61,Identifying Individual,negative,neutral,False
1281,fsa61,Identifying Individual,negative,neutral,False
1283,fsa62,Identifying Individual,positive,negative,False
1284,fsa62,Identifying Individual,positive,negative,False
1286,fsa62,Identifying Individual,positive,negative,False
1288,fsa62,Identifying Individual,positive,negative,False
1290,fsa62,Identifying Individual,positive,negative,False
1291,fsa62,Identifying Individual,positive,negative,False
1292,fsa62,Identifying Individual,positive,negative,False
1296,fsa62,Identifying Individual,positive,negative,False
1297,fsa62,Identifying Individual,positive,negative,False
1298,fsa62,Identifying Individual,positive,negative,False
1301,fsa62,Identifying Individual,positive,negative,False
1303,fsa63,Identifying Individual,positive,negative,False
1304,fsa63,Identifying Individual,positive,negative,False
1305,fsa63,Identifying Individual,positive,negative,False
1306,fsa63,Identifying Individual,positive,negative,False
1307,fsa63,Identifying Individual,positive,negative,False
1308,fsa63,Identifying Individual,positive,negative,False
1309,fsa63,Identifying Individual,positive,negative,False
1310,fsa63,Identifying Individual,positive,negative,False
1311,fsa63,Identifying Individual,positive,negative,False
1312,fsa63,Identifying Individual,positive,negative,False
1313,fsa63,Identifying Individual,positive,negative,False
1314,fsa63,Identifying Individual,positive,negative,False
1315,fsa63,Identifying Individual,positive,negative,False
1316,fsa63,Identifying Individual,positive,negative,False
1317,fsa63,Identifying Individual,positive,negative,False
1318,fsa63,Identifying Individual,positive,negative,False
1320,fsa63,Identifying Individual,positive,negative,False
1321,fsa63,Identifying Individual,positive,negative,False
1322,fsa63,Identifying Individual,positive,negative,False
1323,fsa63,Identifying Individual,positive,negative,False
1325,fsa64,Identifying Individual,positive,negative,False
1326,fsa64,Identifying Individual,positive,negative,False
1327,fsa64,Identifying Individual,positive,negative,False
1346,fsa65,Identifying Individual,positive,,False
1348,fsa65,Identifying Individual,positive,negative,False
1368,fsa66,Identifying Individual,positive,negative,False
1369,fsa66,Identifying Individual,positive,neutral,False
1370,fsa66,Identifying Individual,positive,neutral,False
1374,fsa66,Identifying Individual,positive,negative,False
1377,fsa66,Identifying Individual,positive,neutral,False
1383,fsa66,Identifying Individual,positive,neutral,False
1384,fsa66,Identifying Individual,positive,negative,False
1386,fsa66,Identifying Individual,positive,negative,False
1390,fsa67,Identifying Individual,negative,positive,False
1391,fsa67,Identifying Individual,negative,neutral,False
1395,fsa67,Identifying Individual,negative,neutral,False
1396,fsa67,Identifying Individual,negative,neutral,False
1404,fsa67,Identifying Individual,negative,neutral,False
1409,fsa68,Identifying Individual,positive,negative,False
1413,fsa68,Identifying Individual,positive,neutral,False
1417,fsa68,Identifying Individual,positive,neutral,False
1425,fsa68,Identifying Individual,positive,neutral,False
1444,fsa69,Identifying Individual,negative,positive,False
1454,fsa70,Identifying Individual,negative,,False
1493,fsa72,Identifying Individual,positive,negative,False
1495,fsa72,Identifying Individual,positive,negative,False
1496,fsa72,Identifying Individual,positive,negative,False
1498,fsa72,Identifying Individual,positive,negative,False
1499,fsa72,Identifying Individual,positive,negative,False
1503,fsa72,Identifying Individual,positive,negative,False
1504,fsa72,Identifying Individual,positive,negative,False
1505,fsa72,Identifying Individual,positive,negative,False
1507,fsa72,Identifying Individual,positive,negative,False
1508,fsa72,Identifying Individual,positive,negative,False
1510,fsa72,Identifying Individual,positive,negative,False
1512,fsa72,Identifying Individual,positive,negative,False
1516,fsa73,Identifying Individual,negative,positive,False
1522,fsa73,Identifying Individual,negative,positive,False
1523,fsa73,Identifying Individual,negative,positive,False
1526,fsa73,Identifying Individual,negative,positive,False
1527,fsa73,Identifying Individual,negative,positive,False
1530,fsa73,Identifying Individual,negative,neutral,False
1532,fsa73,Identifying Individual,negative,positive,False
1534,fsa74,Identifying Individual,negative,positive,False
1538,fsa74,Identifying Individual,negative,positive,False
1539,fsa74,Identifying Individual,negative,positive,False
1540,fsa74,Identifying Individual,negative,positive,False
1541,fsa74,Identifying Individual,negative,positive,False
1543,fsa74,Identifying Individual,negative,positive,False
1546,fsa74,Identifying Individual,negative,positive,False
1547,fsa74,Identifying Individual,negative,positive,False
1548,fsa74,Identifying Individual,negative,positive,False
1549,fsa74,Identifying Individual,negative,positive,False
1550,fsa74,Identifying Individual,negative,positive,False
1551,fsa74,Identifying Individual,negative,positive,False
1552,fsa74,Identifying Individual,negative,positive,False
1554,fsa74,Identifying Individual,negative,positive,False
1561,fsa75,Identifying Individual,negative,positive,False
1562,fsa75,Identifying Individual,negative,positive,False
1564,fsa75,Identifying Individual,negative,positive,False
1570,fsa75,Identifying Individual,negative,positive,False
1574,fsa75,Identifying Individual,negative,positive,False
1597,fsa77,Identifying Individual,negative,positive,False
1598,fsa77,Identifying Individual,negative,positive,False
1599,fsa77,Identifying Individual,negative,positive,False
1601,fsa77,Identifying Individual,negative,neutral,False
1602,fsa77,Identifying Individual,negative,positive,False
1604,fsa77,Identifying Individual,negative,positive,False
1605,fsa77,Identifying Individual,negative,positive,False
1611,fsa77,Identifying Individual,negative,positive,False
1612,fsa77,Identifying Individual,negative,positive,False
1615,fsa77,Identifying Individual,negative,positive,False
1616,fsa77,Identifying Individual,negative,neutral,False
1643,fsa79,Identifying Individual,negative,neutral,False
1645,fsa79,Identifying Individual,negative,positive,False
1646,fsa79,Identifying Individual,negative,positive,False
1650,fsa79,Identifying Individual,negative,positive,False
1651,fsa79,Identifying Individual,negative,neutral,False
1652,fsa79,Identifying Individual,negative,neutral,False
1653,fsa79,Identifying Individual,negative,neutral,False
1654,fsa79,Identifying Individual,negative,positive,False
1655,fsa79,Identifying Individual,negative,positive,False
1659,fsa79,Identifying Individual,negative,positive,False
1660,fsa80,Identifying Individual,positive,negative,False
1661,fsa80,Identifying Individual,positive,negative,False
1662,fsa80,Identifying Individual,positive,negative,False
1663,fsa80,Identifying Individual,positive,negative,False
1664,fsa80,Identifying Individual,positive,negative,False
1666,fsa80,Identifying Individual,positive,negative,False
1667,fsa80,Identifying Individual,positive,negative,False
1668,fsa80,Identifying Individual,positive,negative,False
1669,fsa80,Identifying Individual,positive,negative,False
1671,fsa80,Identifying Individual,positive,negative,False
1677,fsa80,Identifying Individual,positive,negative,False
1679,fsa80,Identifying Individual,positive,negative,False
1680,fsa80,Identifying Individual,positive,negative,False
1688,fsa81,Identifying Individual,negative,neutral,False
1691,fsa81,Identifying Individual,negative,neutral,False
1693,fsa81,Identifying Individual,negative,positive,False
1698,fsa81,Identifying Individual,negative,neutral,False
1704,fsa82,Identifying Individual,negative,positive,False
1706,fsa82,Identifying Individual,negative,positive,False
1707,fsa82,Identifying Individual,negative,positive,False
1708,fsa82,Identifying Individual,negative,positive,False
1709,fsa82,Identifying Individual,negative,positive,False
1711,fsa82,Identifying Individual,negative,positive,False
1713,fsa82,Identifying Individual,negative,positive,False
1714,fsa82,Identifying Individual,negative,positive,False
1715,fsa82,Identifying Individual,negative,positive,False
1716,fsa82,Identifying Individual,negative,positive,False
1718,fsa82,Identifying Individual,negative,positive,False
1720,fsa82,Identifying Individual,negative,positive,False
1721,fsa82,Identifying Individual,negative,positive,False
1725,fsa83,Identifying Individual,negative,positive,False
1727,fsa83,Identifying Individual,negative,neutral,False
1749,fsa84,Identifying Individual,negative,positive,False
1750,fsa84,Identifying Individual,negative,neutral,False
1766,fsa85,Identifying Individual,negative,positive,False
1768,fsa85,Identifying Individual,negative,positive,False
1775,fsa85,Identifying Individual,negative,positive,False
1776,fsa85,Identifying Individual,negative,positive,False
1791,fsa86,Identifying Individual,positive,negative,False
1797,fsa86,Identifying Individual,positive,negative,False
1798,fsa86,Identifying Individual,positive,negative,False
1801,fsa86,Identifying Individual,positive,negative,False
1807,fsa87,Identifying Individual,negative,positive,False
1811,fsa87,Identifying Individual,negative,positive,False
1813,fsa87,Identifying Individual,negative,positive,False
1816,fsa87,Identifying Individual,negative,positive,False
1817,fsa87,Identifying Individual,negative,positive,False
1820,fsa87,Identifying Individual,negative,positive,False
1821,fsa87,Identifying Individual,negative,positive,False
1822,fsa87,Identifying Individual,negative,positive,False
1823,fsa87,Identifying Individual,negative,positive,False
1824,fsa87,Identifying Individual,negative,positive,False
1825,fsa87,Identifying Individual,negative,positive,False
1826,fsa87,Identifying Individual,negative,positive,False
1827,fsa87,Identifying Individual,negative,positive,False
1829,fsa88,Identifying Individual,positive,negative,False
1830,fsa88,Identifying Individual,positive,negative,False
1831,fsa88,Identifying Individual,positive,negative,False
1832,fsa88,Identifying Individual,positive,negative,False
1833,fsa88,Identifying Individual,positive,negative,False
1834,fsa88,Identifying Individual,positive,negative,False
1835,fsa88,Identifying Individual,positive,negative,False
1836,fsa88,Identifying Individual,positive,negative,False
1839,fsa88,Identifying Individual,positive,negative,False
1840,fsa88,Identifying Individual,positive,negative,False
1841,fsa88,Identifying Individual,positive,negative,False
1845,fsa88,Identifying Individual,positive,negative,False
1846,fsa88,Identifying Individual,positive,negative,False
1847,fsa88,Identifying Individual,positive,negative,False
1848,fsa88,Identifying Individual,positive,negative,False
1854,fsa89,Identifying Individual,negative,positive,False
1856,fsa89,Identifying Individual,negative,positive,False
1860,fsa89,Identifying Individual,negative,neutral,False
1862,fsa89,Identifying Individual,negative,positive,False
1863,fsa89,Identifying Individual,negative,positive,False
1866,fsa89,Identifying Individual,negative,neutral,False
1869,fsa89,Identifying Individual,negative,positive,False
1875,fsa90,Identifying Individual,negative,positive,False
1876,fsa90,Identifying Individual,negative,positive,False
1877,fsa90,Identifying Individual,negative,positive,False
1878,fsa90,Identifying Individual,negative,positive,False
1879,fsa90,Identifying Individual,negative,positive,False
1880,fsa90,Identifying Individual,negative,positive,False
1882,fsa90,Identifying Individual,negative,positive,False
1883,fsa90,Identifying Individual,negative,positive,False
1885,fsa90,Identifying Individual,negative,positive,False
1886,fsa90,Identifying Individual,negative,positive,False
1888,fsa90,Identifying Individual,negative,positive,False
1890,fsa90,Identifying Individual,negative,positive,False
1896,fsa91,Identifying Individual,positive,negative,False
1897,fsa91,Identifying Individual,positive,negative,False
1906,fsa91,Identifying Individual,positive,negative,False
1914,fsa92,Identifying Individual,negative,positive,False
1933,fsa93,Identifying Individual,negative,positive,False
1935,fsa93,Identifying Individual,negative,positive,False
1937,fsa93,Identifying Individual,negative,positive,False
1938,fsa93,Identifying Individual,negative,positive,False
1939,fsa93,Identifying Individual,negative,positive,False
1940,fsa93,Identifying Individual,negative,positive,False
1941,fsa93,Identifying Individual,negative,positive,False
1942,fsa93,Identifying Individual,negative,positive,False
1943,fsa93,Identifying Individual,negative,positive,False
1944,fsa93,Identifying Individual,negative,positive,False
1945,fsa93,Identifying Individual,negative,positive,False
1946,fsa93,Identifying Individual,negative,positive,False
1947,fsa93,Identifying Individual,negative,positive,False
1948,fsa93,Identifying Individual,negative,positive,False
1949,fsa93,Identifying Individual,negative,positive,False
1950,fsa93,Identifying Individual,negative,positive,False
1951,fsa93,Identifying Individual,negative,positive,False
1952,fsa93,Identifying Individual,negative,positive,False
1953,fsa93,Identifying Individual,negative,positive,False
1954,fsa94,Identifying Individual,negative,positive,False
1955,fsa94,Identifying Individual,negative,positive,False
1956,fsa94,Identifying Individual,negative,positive,False
1960,fsa94,Identifying Individual,negative,positive,False
1965,fsa94,Identifying Individual,negative,positive,False
1966,fsa94,Identifying Individual,negative,positive,False
1967,fsa94,Identifying Individual,negative,neutral,False
1968,fsa94,Identifying Individual,negative,neutral,False
1969,fsa94,Identifying Individual,negative,positive,False
1970,fsa94,Identifying Individual,negative,positive,False
1971,fsa94,Identifying Individual,negative,positive,False
1972,fsa94,Identifying Individual,negative,positive,False
1973,fsa94,Identifying Individual,negative,neutral,False
